date;position;name;km;days;
2020-08-02;7;baja_biker;38,1;8;
2020-08-03;1;ilkkapa;1 422,0;61;
2020-08-03;2;vesa.luomala;1 300,0;49;
2020-08-03;3;nkokko;789,5;26;
2020-08-03;4;EevaLa;277,0;16;
2020-08-03;5;KerttuliS;122,5;8;
2020-08-03;6;IdaSofiak;88,5;7;
2020-08-03;7;baja_biker;38,1;8;
2020-08-04;1;ilkkapa;1 422,0;61;
2020-08-04;2;vesa.luomala;1 300,0;49;
2020-08-04;3;nkokko;789,5;26;
2020-08-04;4;EevaLa;277,0;16;
2020-08-04;5;KerttuliS;122,5;8;
2020-08-04;6;IdaSofiak;88,5;7;
2020-08-04;7;baja_biker;38,1;8;
2020-08-05;1;ilkkapa;1 452,0;63;
2020-08-05;2;vesa.luomala;1 300,0;49;
2020-08-05;3;nkokko;789,5;26;
2020-08-05;4;EevaLa;277,0;16;
2020-08-05;5;KerttuliS;122,5;8;
2020-08-05;6;IdaSofiak;88,5;7;
2020-08-05;7;baja_biker;38,1;8;
2020-08-06;1;ilkkapa;1 452,0;63;
